4,1394224226000,42,2,0,2
2,1344023640000,19,16,0,1
2,1320430500000,35,5,2,5
3,1371839640000,2,39,4,0
4,1383944008000,12,27,1,0
4,1400871163000,26,33,1,2
4,1393614824000,42,2,2,2
1,1296924120000,17,26,2,4
4,1393622956000,42,2,1,1
5,1413570492000,17,24,0,1
1,1287161580000,42,2,1,3
2,1341600360000,28,32,2,1
3,1376081100000,42,2,1,2
6,1448655354000,28,34,2,2
6,1443811357000,38,28,1,2
3,1379712600000,38,2,0,3
3,1366407720000,38,7,1,2
4,1381528490000,35,5,3,0
5,1415389599000,15,20,2,1
1,1308947880000,10,25,1,4
3,1348863120000,42,2,2,3
4,1408132386000,26,36,1,0
1,1307737140000,42,2,2,2
4,1388788412000,26,14,2,0
3,1376158320000,15,28,3,2
1,1298665560000,41,1,3,0
3,1366403640000,26,14,2,1
2,1320433200000,35,5,2,3
3,1362174240000,40,26,0,2
1,1286115720000,42,2,1,1
3,1374259920000,38,28,2,3
1,1426277136000,2,35,3,4
4,1399666923000,28,13,2,0
3,1372526100000,42,2,0,0
1,1299326940000,41,1,1,0
1,1286728560000,42,2,3,1
2,1345403400000,40,26,0,3
5,1426281561000,8,27,2,1
3,1367008260000,40,6,2,3
5,1425671612000,40,10,1,2
1,1299415260000,43,1,0,1
5,1414183271000,23,16,1,3
2,1324663200000,19,38,4,0
1,1296337980000,1,42,1,1
3,1367260440000,38,7,0,1
5,1414781630000,42,2,3,2
4,1388172747000,32,7,0,4
1,1302292320000,42,2,0,2
1,1298809380000,42,2,0,0
1,1294524060000,42,2,0,2
1,1294427700000,42,12,1,1
4,1383945432000,28,13,1,2
4,1399669274000,26,14,3,1
3,1376763240000,2,42,0,2
5,1413571730000,23,16,0,2
1,1298132340000,38,2,0,4
4,1417815098000,42,2,1,1
4,1383340477000,26,17,0,1
4,1383333384000,26,17,0,1
1,1297879860000,41,37,4,1
5,1426282692000,34,7,1,1
2,1334943060000,43,1,3,3
4,1391808688000,15,22,2,4
1,1305489360000,42,2,2,1
1,1294521360000,42,2,2,2
5,1413569204000,42,2,0,0
5,1417812350000,42,2,2,0
1,1288984800000,42,2,1,2
3,1372530540000,42,2,2,2
2,1316806200000,42,2,0,1
1,1307728980000,41,1,1,1
1,1296916380000,36,15,2,2
1,1307550120000,41,1,1,2
3,1372450020000,17,26,3,1
2,1324668600000,26,40,1,1
3,1358696040000,17,26,1,2
4,1394228851000,42,2,1,2
